BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 692 |01 48.7|-48 39|       |            |                  |  2.4       |Gx         |
|NGC 88  |00 21.3|-48 39|       |            |                  |            |Gx         |
|IC 2001 |03 50.9|-48 38|       |            |                  |            |U          |
|NGC 87  |00 21.2|-48 38|       |            |                  |            |Gx         |
|NGC 92  |00 21.5|-48 38|       |            |                  |            |Gx         |
|NGC 6987|20 58.0|-48 37|       |            |                  |            |Gx         |
|NGC 7049|21 19.0|-48 34| 10.7  |            |                  |  2.8       |Gx         |
|NGC 5333|13 54.5|-48 31|       |            |                  |  1.9       |Gx         |
|NGC 6352|17 25.5|-48 25|  8.2  |            |                  |  7.1       |Gb         |
|NGC 7117|21 45.7|-48 24|       |            |                  |            |Gx         |
|NGC 6868|20 09.9|-48 23| 12.0  |p           |                  |  2.7       |Gx         |
|IC 4943 |20 06.5|-48 22|       |            |                  |  2.2       |Gx         |
|NGC 6861|20 07.3|-48 22| 11.1  |            |                  |  2.7       |Gx         |
|IC 4949 |20 07.3|-48 22|       |            |                  |  3.0       |Gx         |
|IC 2072 |04 26.9|-48 22|       |            |                  |            |U          |
|NGC 7041|21 16.5|-48 22| 11.1  |            |                  |  3.9       |Gx         |
|NGC 7118|21 46.1|-48 21|       |            |                  |            |Gx         |
|NGC 5460|14 07.6|-48 19|  5.6  |            |                  | 25.0       |OC         |
|NGC 6851|20 03.6|-48 17| 13.0  |p           |                  |  1.8       |Gx         |
|NGC 6870|20 10.2|-48 17| 12.2  |            |                  |  2.5       |Gx         |
|IC 2084 |04 32.1|-48 17|       |            |                  |            |U          |
|NGC 3909|11 49.6|-48 15|       |            |                  |            |OC         |
|NGC 1567|04 21.1|-48 15|       |            |                  |  1.2       |Gx         |
|NGC 7144|21 52.7|-48 15| 10.7  |            |                  |  3.5       |Gx         |
|NGC 6893|20 20.8|-48 14| 13.0  |p           |                  |  2.8       |Gx         |
|IC 2076 |04 28.1|-48 13|       |            |                  |            |U          |
|IC 2395 |08 41.1|-48 12|  4.6  |            |                  |  8.0       |OC         |
|IC 2069 |04 25.9|-48 12|       |            |                  |            |U          |
|NGC 5266|13 43.0|-48 11| 12.0  |p           |                  |  3.2       |Gx         |
|NGC 5206|13 33.7|-48 09|       |            |                  |            |Gx         |
|NGC 5516|14 15.8|-48 07|       |            |                  |            |Gx         |
|NGC 6164|16 34.0|-48 06|       |            |                  |            |Pl         |
|NGC 6165|16 34.0|-48 06|       |            |                  |            |Pl         |
|IC 1944 |03 29.7|-48 00|       |            |                  |            |U          |
|IC 1949 |03 31.0|-47 59|       |            |                  |            |U          |
|IC 1948 |03 30.9|-47 58|       |            |                  |            |U          |
|NGC 5064|13 19.0|-47 55| 13.0  |p           |                  |  2.8       |Gx         |
|NGC 1527|04 08.4|-47 53| 12.0  |p           |                  |  3.4       |Gx         |
|NGC 7145|21 53.3|-47 53| 11.2  |            |                  |  2.5       |Gx         |
|NGC 1680|04 48.6|-47 49|       |            |                  |  1.3       |Gx         |
|NGC 1595|04 28.4|-47 49|       |            |                  |  1.5       |Gx         |
|NGC 1598|04 28.6|-47 47|       |            |                  |  1.6       |Gx         |
|NGC 7169|22 02.8|-47 42|       |            |                  |  1.0       |Gx         |
|IC 1594 |00 53.7|-47 39|       |            |                  |  1.2       |Gx         |
|NGC 2427|07 36.5|-47 38| 11.6  |            |                  |  5.6       |Gx         |
|NGC 5139|13 26.8|-47 29|  3.7  |            |                  | 36.3       |Gb         |
|NGC 6200|16 44.2|-47 29|  7.4  |            |                  | 12.0       |OC         |
|NGC 1483|03 52.7|-47 29|       |            |                  |            |Gx         |
|NGC 6918|20 30.8|-47 28|       |            |                  |  1.0       |Gx         |
|IC 1976 |03 37.2|-47 26|       |            |                  |            |U          |
|NGC 4940|13 04.9|-47 16|       |            |                  |            |Gx         |
|IC 4874 |19 36.4|-47 16|       |            |                  |  1.4       |Gx         |
|IC 2042 |04 11.7|-47 16|       |            |                  |            |U          |
|NGC 4937|13 04.7|-47 13|       |            |                  |            |-          |
|NGC 1433|03 42.0|-47 13| 10.0  |            |                  |  6.8       |Gx         |
|NGC 7038|21 15.2|-47 13| 12.0  |p           |                  |  3.0       |Gx         |
|IC 5170 |22 12.5|-47 13|       |            |                  |  1.8       |Gx         |
|NGC 7014|21 07.9|-47 11| 12.3  |            |                  |  1.9       |Gx         |
|NGC 7213|22 09.3|-47 10| 10.5  |            |                  |  1.9       |Gx         |
|NGC 2660|08 42.2|-47 09|  8.8  |            |                  |  4.0       |OC         |
|NGC 6845|20 00.9|-47 05|       |            |                  |            |Gx         |
|IC 1984 |03 39.9|-47 05|       |            |                  |            |U          |
|NGC 6909|20 27.7|-47 02| 13.0  |p           |                  |  2.3       |Gx         |
|NGC 6204|16 46.5|-47 01|  8.2  |            |                  |  5.0       |OC         |
|NGC 2932|09 35.3|-46 57|       |            |                  |            |-          |
|IC 1625 |01 07.7|-46 54|       |            |                  |  2.1       |Gx         |
|IC 1630 |01 08.3|-46 45|       |            |                  |  1.7       |Gx         |
|NGC 1930|05 25.9|-46 44|       |            |                  |            |Gx         |
|IC 1621 |01 06.4|-46 43|       |            |                  |            |U          |
|IC 4865 |19 30.9|-46 42|       |            |                  |            |U          |
|NGC 405 |01 08.3|-46 40|       |            |                  |            |DS         |
|NGC 3482|10 58.6|-46 35|       |            |                  |  2.0       |Gx         |
|NGC 7119|21 46.3|-46 31| 14.0  |p           |                  |  1.1       |Gx         |
|IC 2949 |11 40.9|-46 29|       |            |                  |            |U          |
|IC 1631 |01 08.8|-46 29|       |            |                  |  1.3       |Gx         |
|NGC 3201|10 17.6|-46 25|  6.8  |            |                  | 18.2       |Gb         |
|IC 4402 |14 21.2|-46 18|       |            |                  |  3.4       |Gx         |
|NGC 4835|12 58.1|-46 15| 12.0  |p           |                  |  3.4       |Gx         |
|NGC 2645|08 38.9|-46 13|       |            |                  |            |-          |
|NGC 1493|03 57.5|-46 12| 12.0  |p           |                  |  2.6       |Gx         |
|NGC 6875|20 13.2|-46 09| 13.0  |p           |                  |  2.5       |Gx         |
|IC 4873 |19 34.9|-46 08|       |            |                  |            |U          |
|IC 1266 |17 45.6|-46 06|       |            |                  |            |U          |
|IC 1627 |01 08.2|-46 06|       |            |                  |  2.5       |Gx         |
|NGC 3283|10 32.9|-46 05|       |            |                  |            |U          |
|NGC 5489|14 12.0|-46 05|       |            |                  |  1.4       |Gx         |
|IC 5171 |22 10.9|-46 05|       |            |                  |  2.8       |Gx         |
|IC 5201 |22 21.4|-46 04| 11.0  |p           |                  |  8.5       |Gx         |
|IC 4445 |14 31.9|-46 02|       |            |                  |            |U          |
|IC 5181 |22 13.4|-46 02| 11.7  |            |                  |  2.8       |Gx         |
|IC 5224 |22 30.5|-46 00|       |            |                  |  1.4       |Gx         |
|IC 4699 |18 18.5|-45 59| 12.0  |p           |                  |  0.2       |Pl         |
|NGC 5670|14 35.7|-45 57|       |            |                  |  2.0       |Gx         |
|IC 1633 |01 09.9|-45 56|       |            |                  |  3.0       |Gx         |
|NGC 2736|09 00.4|-45 54|       |            |                  |            |Gx         |
|IC 4868 |19 33.5|-45 54|       |            |                  |            |U          |
|NGC 5244|13 38.6|-45 53|       |            |                  |            |Gx         |
|NGC 5219|13 38.7|-45 51|       |            |                  |            |Gx         |
|NGC 7232|22 15.7|-45 51| 13.0  |p           |                  |  3.0       |Gx         |
|NGC 7233|22 15.8|-45 51|       |            |                  |  2.2       |Gx         |
|NGC 6250|16 58.0|-45 48|  5.9  |            |                  |  8.0       |OC         |
|NGC 5882|15 16.8|-45 39| 11.0  |p           |                  |  0.1       |Pl         |
|IC 1108 |15 16.8|-45 39|       |            |                  |            |U          |
|NGC 6178|16 35.7|-45 38|  7.2  |            |                  |  4.0       |OC         |
|IC 4956 |20 11.5|-45 36|       |            |                  |  1.9       |Gx         |
|IC 2035 |04 09.0|-45 31| 12.0  |p           |                  |            |Gx         |
|IC 1603 |00 57.0|-45 25|       |            |                  |  1.3       |Gx         |
|IC 1986 |03 40.6|-45 22|       |            |                  |            |U          |
|NGC 7400|22 54.3|-45 21|       |            |                  |  2.5       |Gx         |
|IC 4808 |19 01.1|-45 19|       |            |                  |  2.0       |Gx         |
|IC 4359 |14 05.4|-45 16|       |            |                  |            |U          |
|NGC 98  |00 22.8|-45 16|       |            |                  |  1.8       |Gx         |
|IC 1969 |03 36.2|-45 11|       |            |                  |            |U          |
|IC 1595 |00 53.8|-45 11|       |            |                  |  1.2       |Gx         |
|NGC 3446|10 52.1|-45 09|       |            |                  |            |OC         |
|NGC 5688|14 39.5|-45 02|       |            |                  |  3.9       |Gx         |
|NGC 1558|04 19.3|-45 02|       |            |                  |            |Gx         |
|IC 5328 |23 33.2|-45 02| 12.0  |p           |                  |  2.5       |Gx         |
|IC 4390 |14 17.0|-44 59|       |            |                  |  1.7       |Gx         |
